
Keyword,Abbreviation
Frozen,Frzn
Fuel,Fu
Full,Full
Function,Fct
Fusion,Fusn
Gain,Gain
Gap,Gap
Gas,Gas
Gasoline,Gsl
Gear,Gear
Gearbox,Gbx
Generated,Gend
Generator,Genr
Generic,Gen
Germany,Germany
Get,Get
Giga,Giga
Glass,Glass
Global,Glb
Glove,Glv
Glow,Glw
Governor,Govr
Grade,Grd
Gradient,Grdt
Gram,Gr
Gravity,Grvy
Grip,Grip
Ground,Gnd
Group,Group
Gulf,Gulf
Half,Half
Handbrake,Hndbrk
Handle,Hndl
Handling,Hndlg
Hard,Hard
Hardware,Hw
Hazard,Hzrd
Head,Hd
Header,Hdr
Headlamp,Hdlamp
Headrest,Hdrest
Heal,Heal
Heat,Heat
Heated,Heatd
Heater,Heatr
Heating,Heatg
Heavy,Hvy
Hecto,Hecto
Height,Hei
Hertz,Hz
Hibernate,Hbrnt
High,Hi
Hill,Hill
History,Hist
Hitch,Hitch
Hmi,Hmi
Hold,Hld
Home,Home
Homogeneous,Hom
Hood,Hood
Hoop,Hoop
Horizontal,Hozl
Horn,Horn
Hot,Hot
Hotel,Htl
Hour,Hr
Hud,Hud
Humidity,Hum
Hvac,Hvac
Hybrid,Hyb
Hydraulic,Hyd
Hysteresis,Hys
I,I
Ice,Ice
Identification,Idn
Identifier,Id
Idle,Idle
Ignition,Ign
Illumination,Illmn
Immediate,Imdt
Immobilisation,Imobn
Immobilizer,Imob
Impact,Impct
Implausibility,Impy
Implausible,Imps
Import,Imprt
Impossible,Impo
Impulse,Imp
In,In
Inclination,Incln
Incline,Incl
Increase,Inc
Increment,Inct
Index,Idx
India,India
Indicated,Indcd
Indication,Indcn
Indicator,Indcr
Individual,Ind
Indonesia,Indonesia
Inductive,Indu
Inertia,J
Information,Info
Inhibit,Inhb
Inhibition,Inhbn
Initial,Ini
Initialization,Inin
Injection,Inj
Injector,Injr
Input,Inp
Insert,Insert
Inside,Insd
Instance,Inst
Intake,Intk
Integer,Intgr
Integral,Intgl
Intended,Intd
Intensity,Inten
Intercooler,Ico
Interdomain,Interdom
Interface,If
Interior,Intr
Intermediary,Intery
Intermediate,Inter
Intermittent,Intm
Internal,Int
Interpolation,Intrpn
Interpreter,Itp
Interrupt,Intrpt
Interval,Intl
Intervention,Intv
Intervening,Intvg
Invalid,Invld
Inverse,Ivs
Invert,Ivt
Irreversible,Irrv
Italy,Italy
Jam,Jam
Japan,Japan
Jerk,Jerk
Joule,Jou
Jump,Jmp
Kelvin,Kelvin
Key,Key
Keyless,Keyls
Keyword,Keyword
Kickdown,Kd
Kilo,Kilo
Knee,Knee
Knob,Knob
Knock,Knk
Korea,Korea
Lambda,Lam
Lamp,Lamp
Lane,Lane
Large,Lrg
Last,Lst
Latch,Ltch
Lateral,Lat
Leak,Leak
Lean,Lean
Learn,Lrn
Learning,Lrng
Leaving,Lvng
Led,Led
Left,Le
Length,Len
Level,Lvl
Leveling,Lvlg
Lever,Lvr
Lid,Lid
Light,Li
Lighter,Lighter
Lighting,Ltg
Limit,Lim
Limitation,Limn
Limited,Limd
Limiter,Limr
Limp,Limp
Line,Line
Linear,Lnr
List,List
Liter,L
Load,Load
Location,Locn
Lock,Lock
Locked,Lockd
Locking,Lockg
Logical,Logl
Long,Long
Longitudinal,Lgt
Loop,Loop
Loss,Loss
Lost,Lost
Loudness,Ldn
Low,Lo
Lower,Lowr
Lumbar,Lum
Machine,Mac
Magnetic,Mag
Magnitude,Mgn
Main,Mai
Maintenance,Mntn
Malaysia,Malaysia
Male,Male
Manage,Mng
Management,Mngt
Manager,Mgr
Manifold,Mnfld
Manual,Man
Map,Map
Mapping,Mpg
Marker,Mkr
Market,Mkt
Mask,Mask
Mass,M
Massage,Massg
Master,Mst
Mathematical,Mat
Maximum,Max
Measure,Meas
Measured,Measd
Mechanic,Mec
Mechanical,Mecl
Medium,Med
Mega,Mega
Memorise,Memr
Memorized,Memd
Memory,Mem
Meter,Mtr
Mexico,Mexico
Micro,Micro
Middle,Mid
Mileage,Milg
Milli,Milli
Minimum,Min
Minute,Mins
Mirror,Mirr
Miscellaneous,Misc
Misfire,Misf
Misfiring,Misfg
Missing,Miss
Mitigation,Mtgtn
Mode,Mod
Model,Mdl
Modulation,Modln
Mole,Mol
Moment,Mom
Momentum,Momtm
Monitor,Monr
Monitoring,Mon
Month,Mth
Motion,Mtn
Motor,Mot
Motorcycle,Motorcycle
Mounted,Mntd
Mounting,Mntg
Move,Move
Movement,Movmt
Moving,Movg
Msr,Msr
Mt,Mt
Multimedia,Mmed
Multiple,Mpl
Multiplexer,Mux
N,N
Nano,Nano
Natural,Nat
Near,Near
Negation,Negn
Negative,Neg
Network,Net
Neutral,Neut
New,New
Newton,Nwt
Night,Night
No,No
Node,Nod
Noise,Noise
Nominal,Nom
Nonlinear,Nlnr
Nordic,Nrdc
Normal,Norm
Not,Not
Notification,Notif
Now,Now
Nox,Nox
Nozzle,Noz
Number,Nr
Object,Obj
Observe,Obs
Observer,Obsvr
Obstacle,Obstcl
Obstruction,Obstrcn
Occupant,Occpt
Of,Of
Off,Off
Offroad,Offroad
Offset,Offs
Ohm,Ohm
Oil,Oil
Ok,Ok
Old,Old
On,On
Only,Only
Open,Open
Opened,Opend
Opener,Opener
Operation,Oper
Optical,Optic
Optimum,Optm
Optional,Opt
Or,Or
Orientation,Orntn
Oscillate,Osc
Oscillation,Oscn
Out,Out
Outlet,Outl
Output,Outp
Outside,Outd
Over,Over
Overflow,Ovf
Overheated,Ovrheatd
Overheating,Ovrheatg
Overload,Ovld
Overridden,Ovrdn
Override,Ovrd
Oxidation,Oxd
Pad,Pad
Panel,Pan
Panic,Panic
Parameter,Prm
Parity,Par
Park,Park
Parking,Prkg
Partial,Ptl
Pascal,Pa
Pase,Pase
Passed,Passd
Passenger,Pass
Passive,Pas
Path,Pah
Pattern,Pat
Peak,Peak
Pedal,Pedl
Pedestrian,Ped
Pelvis,Pelv
Pending,Pnd
Per,Per
Percent,Perc
Period,Perd
Permanent,Prmnt
Permille,Perml
Personal,Prsnl
Personalization,Pen
Phase,Pha
Philippine,Philippine
Physical,Phy
Pi,Pi
Pico,Pico
Pid,Pid
Pin,Pin
Pinion,Pinion
Piston,Pist
Pitch,Pitch
Pitchover,Pitchovr
Plant,Pla
Plate,Plate
Plausible,Plaus
Pneumatic,Pnm
Pointer,Ptr
Polling,Polling
Pool,Pool
Port,Port
Position,Posn
Positioning,Posng
Positive,Pos
Possible,Psbl
Post,Post
Potentiometer,Poti
Power,Pwr
Powertrain,Pt
Pre,Pre
Precharge,Prec
Predicted,Pred
Preliminary,Prel
Premature,Prem
Preparation,Prepn
Prepare,Prep
Presence,Pres
Present,Prsnt
Pressed,Psd
Pressure,P
Prevention,Prevn
Previous,Prev
Primary,Prim
Priority,Prio
Probability,Problty
Process,Proc
Profile,Prof
Program,Prog
Programmed,Progd
Programming,Progm
Progress,Progs
Project,Prj
Property,Ppty
Proportional,Prop
Propulsive,Prp
Protected,Protd
Protection,Protn
Ptc,Ptc
Puddle,Puddle
Pull,Pull
Pulse,Pls
Pump,Pmp
Purge,Purg
Push,Push
Put,Put
Pwm,Pwm
Pyrometer,Pyro
Quality,Qly
Quantity,Qnty
Quotient,Quo
Radian,Rad
Radiator,Radr
Radio,Radio
Radius,Rd
Rail,Rail
Rain,Rain
Ram,Ram
Ramp,Ramp
Random,Rnd
Range,Rng
Rate,Rate
Ratio,Rat
Raw,Raw
Reaction,Reactn
Reactivation,Reacvn
Read,Read
Reading,Reading
Ready,Rdy
Real,Real
Realized,Relzd
Rear,Re
Rebound,Rbd
Recall,Recall
Receive,Rx
Receiver,Rxr
Reception,Rxn
Reciprocal,Recpr
Recirculation,Recirc
Recognized,Rcnd
Record,Rec
Reduction,Redn
Reference,Ref
Refuel,Refu
Regeneration,Rgn
Region,Regn
Regular,Rgl
Reinforce,Reinf
Rejected,Rejctd
Relative,Rel
Relay,Rly
Release,Rels
Released,Reld
Relevance,Rlvc
Relevant,Rlv
Reminder,Rmn
Remote,Rem
Repeat,Rep
Repetition,Repn
Request,Req
Requested,Reqd
Required,Rqrd
Reserve,Resv
Reserved,Resd
Reset,Rst
Residual,Resi
Resistance,R
Resolution,Resl
Response,Resp
Rest,Rest
Restart,Rstrt
Restore,Restore
Restraint,Restrnt
Result,Res
Resume,Resu
Retard,Rtd
Retarder,Rtdr
Retractor,Rtrctr
Reverse,Rvs
Reversible,Rvsb
Reversing,Rvsg
Revolution,Rev
Rho,Rho
Rich,Rich
Ricirculation,Rcrltn
Ride,Ride
Right,Ri
Rise,Rise
Rising,Risng
Rke,Rke
Road,Road
Roll,Roll
Rollbar,Rollbar
Roller,Rollr
Rolling,Rollg
Rollover,Rollovr
Rom,Rom
Ron,Ron
Roof,Roof
Rotary,Roty
Rotation,Rot
Rotational,Rotl
Roughness,Roughns
Row,Row
Rpm,Rpm
Rsa,Rsa
Rsc,Rsc
Run,Run
Running,Runng
Runtime,Rt
Safe,Safe
Safety,Sfty
Sale,Sale
Sample,Sample
Saturation,Satn
Save,Save
Saved,Saved
Scale,Sca
Scan,Scan
Scanner,Scanr
Scavenging,Scav
Scheduler,Sdl
Seat,Seat
Seating,Seatg
Second,Sec
Sector,Sector
Security,Secu
Seed,Seed
Segment,Seg
Segmented,Segd
Selected,Seld
Selection,Seln
Self,Self
Send,Snd
Sensing,Sen
Sensitivity,Snvty
Sensor,Snsr
Sequence,Seq
Sequential,Seql
Serial,Serl
Serie,Ser
Service,Srv
Servo,Servo
Set,Set
Setpoint,Sp
Severity,Sev
Shaft,Shaft
Shield,Shd
Shift,Shift
Short,Sho
Shortening,Shong
Shutter,Shttr
Side,Side
Siemens,S
Signal,Sig
Sill,Sill
Simple,Simple
Simulated,Simd
Simulation,Simn
Single,Sng
Sinus,Sin
Slave,Slave
Slide,Sld
Sliding,Sldg
Slip,Slip
Slope,Slop
Slow,Slow
Smart,Smt
Smoothing,Smotng
Soft,Soft
Soi,Soi
Solenoid,Soln
Soon,Soon
Sound,Sound
Sounder,Soundr
Source,Src
Spare,Spare
Special,Spcl
Specific,Spc
Speed,Spd
Spi,Spi
Spontaneous,Spo
Sport,Spt
Spring,Sprg
Square,Sq
Squared,Sqd
Ssm,Ssm
Stability,Staby
Stabilization,Stabn
Stabilizer,Stabr
Stable,Stab
Stage,Stg
Stall,Stall
Stalling,Stallg
Stamp,Stamp
Stand,Stand
Standard,Std
Standardization,Stdn
Standby,Stb
Standing,Standg
Start,Strt
Started,Strtd
Starter,Strtr
Starting,Strtg
State,St
Static,Stat
Stationary,Staty
Statistic,Stc
Status,Sts
Steering,Steer
Step,Step
Steradian,Srad
Stiffness,Stfn
Still,Still
Stimulation,Sti
Stoichiometric,Stoi
Stop,Stop
Storage,Storg
Store,Store
Strategy,Stgy
Stratified,Strat
Strike,Strike
Stroke,Stk
Structure,Struct
Stuck,Stuck
Substitute,Sub
Subtractive,Subt
Subtype,Subtyp
Suction,Suctn
Sulphur,Su
Sum,Sum
Super,Sup
Superior,Supr
Superposition,Suppsn
Supplementary,Sppl
Supply,Sply
Suppress,Supp
Surge,Surge
Surroundings,Surrndgs
Suspension,Susp
Suspicion,Suspc
Swirl,Swirl
Switch,Swt
Switchable,Swil
Switzerland,Switzerland
Symptom,Sym
Synchronization,Syncn
Synchronize,Sync
Synchronized,Syncd
System,Sys
Table,Tbl
Taiwan,Taiwan
Tank,Tank
Target,Tar
Tau,Tau
Telegram,Telgrm
Telematics,Telm
Telltale,Telltl
Temperature,T
Temporary,Tmp
Tensioner,Tensnr
Term,Term
Terminal,Terminal
Test,Test
Thailand,Thailand
Theoretical,Theo
Thermal,Therm
Thermo,Thermo
Thermostat,Th
Third,Thrd
Thorax,Thorax
Threshold,Thd
Throttle,Thr
Tightness,Tgtnss
Tilt,Tilt
Time,Ti
Timer,Tmr
Tinting,Tintg
Tip,Tip
Tire,Tire
Titanium,Tit
Tn,Tn
To,To
Toggle,Tog
Tolerance,Tolr
Tooth,Tooth
Top,Top
Torque,Tq
Torsion,Tors
Total,Tot
Touched,Touchd
Tout,Tout
Traction,Trac
Trailer,Trlr
Transfer,Trf
Transient,Tra
Transition,Tran
Transmission,Trsm
Transmit,Tx
Transversal,Trv
Trap,Trap
Trapping,Trapg
Travel,Trvl
Travelled,Trvld
Treatment,Treat
Trigger,Trig
Trip,Trip
Trouble,Tro
Truck,Truck
Trunk,Tr
Tube,Tube
Tumble,Tumb
Tuning,Tun
Turbine,Trb
Turbulence,Trbl
Turn,Turn
Twilight,Twli
Type,Typ
Uds,Uds
Undefined,Undefd
Unfavourable,Unfav
Unit,Unit
Unknown,Ukwn
Unlock,Unlck
Unlocked,Unlckd
Up,Up
Update,Upd
Upper,Uppr
Upstream,Us
Upward,Upw
Usa,Usa
Use,Use
User,Usr
Vacuum,Vac
Valid,Vld
Validate,Vldt
Value,Val
Valve,Vlv
Van,Van
Vanity,Vanity
Vapor,Vap
Variance,Vari
Variant,Vrnt
Vcc,Vcc
Vcv,Vcv
Vector,Vect
Vehicle,Veh
Velocity,V
Vent,Vent
Ventilation,Ventn
Version,Vers
Vertical,Vert
Vietnam,Vietnam
Vin,Vin
Virtual,Virt
Viscosity,Vcos
Visibility,Visy
Visual,Vis
Vlc,Vlc
Volt,Volt
Voltage,U
Volume,Vol
Volumetric,Volmc
Wait,Wait
Warm,Wrm
Warning,Warn
Washer,Wshr
Washing,Wshng
Water,Wtr
Watt,Watt
Way,Way
Weather,Wthr
Weight,Wght
Wheel,Whl
Wheels,Whls
Wide,Wide
Width,Width
Window,Win
Windscreen,Wind
Winter,Wntr
Wiper,Wipr
Wiping,Wipg
Wireless,Wirels
Wish,Wish
Wished,Wishd
With,With
Within,Within
Without,Wo
Word,Word
Work,W
World,World
Write,Wr
Wrong,Wrg
Xposition,Xpos
Yaw,Yaw
Year,Yr
Yposition,Ypos
